y,X
27297983.67,0.95
25083647.17,0.98
28041335.38,0.93
28800396.57,0.89
22617999.38,0.99
25114228.11,0.96
28597756.27,0.92
28485715.97,0.97
31047484.27,0.97
26240072.11,1.04
29375123.6,0.99
29216198.15,1
28243505.52,1.02
27753508.14,1.03
29569086.56,1.02
31245835.65,1.03
33526480.08,1.02
29761638.48,1.07
29699845.61,1.08
31936856.18,1.05
33254911.87,1.05
30358467.88,1.09
30652211.08,1.07
32324647.66,1.07
31660031.68,1.07
37943670.34,1.04
32408705.7,1.06
35734613.9,1.02
37026085.75,0.98
36549995.66,1
33720159.09,1.03
35344183.15,1.04
32027686.15,1.06
36400886.58,1.02
41291704.39,0.96
30894157.8,1.07
33091256.26,1.03
32046401.64,1.02
31500669.44,1.06
29982648.43,1.04
32513550.51,1.01
29572225.71,1.04
30094698.85,1.02
32994014.16,0.97
29936729.76,1.02
28012520.93,1.03
32137333.01,0.95
44655461.51,0.89
28470310.84,1.04
29043458.85,1.03
29063542.75,1.01
31324277.73,0.95
30287853.7,1
29583882.61,0.96
30093540.7,0.98
31621221.9,1
22923062.65,1.21
24989702.75,1.27
24075126.49,1.36
22534698.38,1.44
21009730.21,1.43
24753513.95,1.34
27707046.82,1.3
28857581.98,1.27
29615008.49,1.23
30305112.89,1.22
31346091.46,1.15
34126730.95,1.08
37130688.91,1.04
33993931.31,1.09
33592097.72,1.1
34386177.3,1.12
33819909.09,1.15
31201590.22,1.23
32339377.09,1.2
32656123.63,1.15
35567568.43,1.1
39993186.04,1.06
36617023.79,1.04
38489936.14,1.02
35580820,1.04
40231259.65,0.97
40019075.24,0.94
36958035.51,0.93
39914996.74,0.89
46324529.7,0.82
42867608.54,0.84
39607695.3,0.87
37467885.19,0.9
36584029.39,0.9
33668450.55,0.94
35930195.92,0.94
36335483.78,0.93
36374516.14,0.93
35064506.04,0.95
36801817.68,0.91
32804733.22,0.94
36476441.86,0.88
52288697.89,0.76
34721249.92,0.93
32787079.21,0.95
34426341.87,0.94
35264336.01,0.93
38142088.04,0.86
38267341.61,0.98
29102349.33,1.18
30757767.03,1.07
35634913.01,1.03
33824253,1.09
24686675,1.24
29253484,1.17
32336225,1.15
32051594.24,1.19
30237911.23,1.29
26706971.51,1.44
25031589.09,1.58
24397166.19,1.65
24610645.21,1.64
24637148.38,1.62
25394902.82,1.57
26385081.36,1.56
26808410.65,1.57
28785279.75,1.47
29913744.37,1.41
32817254.13,1.33
32529920.23,1.33
31756097.22,1.32
32608301.51,1.31
32455047.11,1.33
39367336.18,1.17
38010426.16,1.21
37305307.68,1.17
38247669.33,1.18
37039853.8,1.21
37352360.59,1.24
37030893.73,1.28
34397651.15,1.26
36634269.03,1.19
47293921.6,1.09
38315500.43,1.18
35729013.92,1.18
35182320.78,1.23
34785712.55,1.21
34468017.36,1.21
32555119.32,1.24
31595125.23,1.25
32020573.94,1.22
33684175.01,1.13
37007797.69,0.99
33905854.58,0.99
41077470.65,0.87
61034457.1,0.77
39373579.25,0.96
42140393.39,0.94
38295488.31,0.98
38049802.62,0.99
38879716.85,0.89
43409835.75,1.03
41386314.12,1.05
40449603.12,1.09
40741214.05,1.07
40021528.76,1.06
36709887.49,1.08
43167806.09,0.97
62505646.52,0.87
40171640.84,1.09
42939821.55,1.08
37299945.22,1.2
36703156.72,1.13
